project;start;end;functie;waterloop;plaats;regio;url;;
Stormvloedkering Hollandse IJssel (Algerakering);1954;1958;Stormvloedkering;Hollandse IJssel;Nabij Krimpen aan den IJssel, Zuid-Holland;zuidwestelijke delta;;;
Zandkreekdam;1959;1960;Dam;Zandkreek, Veerse Gat (Oosterschelde);Tussen Noord-Beveland en Zuid-Beveland;zuidwestelijke delta;;;
Veerse Gatdam;1960;1961;Dam;Veerse Gat (Oosterschelde);Tussen Noord-Beveland en Walcheren;zuidwestelijke delta;;;
Grevelingendam;1958;1965;Dam;Grevelingen (Oosterschelde rivierarm);Tussen Goeree-Overflakkee en Schouwen-Duiveland;zuidwestelijke delta;;;
Volkerakdam;1957;1969;Dam;Volkerak, Hollandsch Diep (Maas en Oosterschelde rivierarm);Tussen Zuid-Holland en Zeeland;zuidwestelijke delta;;;
Haringvlietdam;1958;1970;Dam + Spuisluis;Haringvliet (arm van de Rijn en Maas);Tussen Voorne-Putten en Goeree-Overflakkee;zuidwestelijke delta;;;
Brouwersdam;1962;1971;Dam;Grevelingen (Oosterschelde rivierarm);Tussen Schouwen-Duiveland en Goeree-Overflakkee;zuidwestelijke delta;;;
Markiezaatskade;1980;1983;Dam;Markiezaatsmeer, Schelde-Rijnkanaal;Tussen Zuid-Beveland en Molenplaat;zuidwestelijke delta;;;
Oosterscheldekering;1960;1986;Stormvloedkering;Oosterschelde;Tussen Schouwen-Duiveland en Noord-Beveland;zuidwestelijke delta;;;
Oesterdam;1979;1986;Dam;Oosterschelde, Schelde-Rijnkanaal;Tussen Tholen en Zuid-Beveland;zuidwestelijke delta;;;
Philipsdam;1976;1987;Dam;Oosterschelde;Tussen Grevelingendam en Sint-Philipsland;zuidwestelijke delta;;;
Bathse spuisluis;1980;1987;Spuisluis;Volkerak, Markiezaatsmeer, Oosterschelde;Nabij Bath;zuidwestelijke delta;;;
Maeslantkering;1991;1997;Stormvloedkering;Nieuwe Waterweg (Rijn rivierarm);Stroomafwaarts Rotterdam;zuidwestelijke delta;;;
Hartelkering;1991;1997;Stormvloedkering;Hartelkanaal;Nabij Spijkenisse, Zuid-Holland;zuidwestelijke delta;;;
Afsluitdijk;1920;1932;Dam;Waddenzee;Nabij Harlingen;Waddenzee;;;
Lauwersmeer;1961;1969;Dam;Lauwersmeer;Nabij Lauwersoog;Waddenzee;;;
Wieringermeer;1924;1930;Polder;Waddenzee;Nabij Wieringen;Waddenzee;;;
Wieringerwaard;1600;1610;Polder;Waddenzee;Nabij Wieringen;Waddenzee;https://nl.wikipedia.org/wiki/Wieringerwaard;;
Noordoostpolder;1936;1940;Polder;IJsselmeer;IJsselmeer;IJsselmeer;;;
Oostelijk Flevoland;1950;1956;Polder;IJsselmeer;IJsselmeer;IJsselmeer;;;
Zuidelijk Flevoland;1959;1967;Polder;IJsselmeer;IJsselmeer;IJsselmeer;;;
Beemster;1607;1612;Droogmakerij;Beemstermeer;Noord-Holland;Noord-Holland;;;
Schermer;1633;1635;Droogmakerij;Schermermeer;Noord-Holland;Noord-Holland;;;
Purmer;1618;1622;Droogmakerij;Purmermeer;Noord-Holland;Noord-Holland;;;
Haarlemmermeer;1840;1852;Droogmakerij;Haarlemmermeer;Noord-Holland;Noord-Holland;;;
Selectieve onttrekking zout water zeesluis IJmuiden;2022;2025;Zoutdam;Noordzeekanaal;IJmuiden;Noord-Holland;https://www.rijkswaterstaat.nl/water/projectenoverzicht/selectieve-onttrekking-bij-zeesluis-ijmuiden;;
Verbouwing zeesluis IJmuiden;2016;2021;Zeesluis;Noordzeekanaal;IJmuiden;Noord-Holland;https://www.rijkswaterstaat.nl/water/projectenoverzicht/selectieve-onttrekking-bij-zeesluis-ijmuiden/zeesluis-ijmuiden-bouw-ingebruikname;;
Haringvlietsluizen op een kier;2019;2030;Dam;Haringvliet;Haringvliet;Zuid-Holland;https://www.rijkswaterstaat.nl/water/projectenoverzicht/haringvliet-haringvlietsluizen-op-een-kier;;
Europoort;1958;1964;Havengebied;Nieuwe Waterweg;Hoek van Holland;Zuid-Holland;https://nl.wikipedia.org/wiki/Europoort;;
Nieuwe Waterweg aanleg;1864;1872;Kanaal;Nieuwe Waterweg;Hoek van Holland;Zuid-Holland;https://www.rijkswaterstaat.nl/water/projectenoverzicht/haringvliet-haringvlietsluizen-op-een-kier;;https://nl.wikipedia.org/wiki/Nieuwe_Waterweg
Nieuwe Waterweg verdieping;2017;2018;Kanaal;Nieuwe Waterweg;Hoek van Holland;Zuid-Holland;https://www.rijkswaterstaat.nl/water/projectenoverzicht/haringvliet-haringvlietsluizen-op-een-kier;;https://nl.wikipedia.org/wiki/Nieuwe_Waterweg
Maasvlakte 1;1969;1973;Havengebied;Noordzee;Hoek van Holland;Zuid-Holland;https://nl.wikipedia.org/wiki/Maasvlakte;;
Maasvlakte 2;2008;2013;Havengebied;Noordzee;Hoek van Holland;Zuid-Holland;https://nl.wikipedia.org/wiki/Tweede_Maasvlakte;;
Zandmotor;2011;2011;Suppletie;Noordzee;Hoek van Holland;Zuid-Holland;https://nl.wikipedia.org/wiki/Zandmotor_DeltaDuin;;
Noorderpier verlenging;1970;1970;Pier;Noordzee;Hoek van Holland;Zuid-Holland;https://hoekvanholland.nu/locatie/de-pier/;;
Noordzeekanaal opening;;1876;Kanaal;Noordzeekanaal;IJmuiden;Noord-Holland;https://nl.wikipedia.org/wiki/Sluizen_van_IJmuiden;;
Aanleg Middensluis;1889;1896;Sluis;Noordzeekanaal;IJmuiden;Noord-Holland;https://nl.wikipedia.org/wiki/Sluizen_van_IJmuiden;;
Noordzeekanaal verdieping;1900;1907;Kanaal;Noordzeekanaal;IJmuiden;Noord-Holland;https://nl.wikipedia.org/wiki/Sluizen_van_IJmuiden;;
Aanleg Noordersluis;1924;1929;Sluis;Noordzeekanaal;IJmuiden;Noord-Holland;https://nl.wikipedia.org/wiki/Sluizen_van_IJmuiden;;
Havenontwikkeling;1900;1920;;;;;;;
